Date,Clickthrough_Rate
1/1/2023,0.035
1/2/2023,0.034
1/3/2023,0.036
1/4/2023,0.035
1/5/2023,0.037
1/6/2023,0.036
1/7/2023,0.038
1/8/2023,0.037
1/9/2023,0.036
1/10/2023,0.035
1/11/2023,0.034
1/12/2023,0.036
1/13/2023,0.035
1/14/2023,0.037
1/15/2023,0.038
1/16/2023,0.036
1/17/2023,0.037
1/18/2023,0.035
1/19/2023,0.034
1/20/2023,0.036
1/21/2023,0.035
1/22/2023,0.037
1/23/2023,0.036
1/24/2023,0.038
1/25/2023,0.039
1/26/2023,0.038
1/27/2023,0.040
1/28/2023,0.039
1/29/2023,0.038
1/30/2023,0.037
1/31/2023,0.036
